,id,imdb_id,original_title,title,genres,budget,revenue,release_date,runtime,vote_average,vote_count,genre_term_1,genre_term_2,genre_term_3,genre_term_4,genre_term_5,genre_term_6,genre_term_7,genre_term_8,genre_term_9,budget_adjusted_to_2020,revenue_adjusted_to_2020
0,862,tt0114709,Toy Story,Toy Story,"Animation,Comedy,Family",30000000.0,373554033.0,1995-10-30,81.0,7.7,5415.0,Animation,Comedy,Family,,,,,,,50898000.0,633771772.39
1,8844,tt0113497,Jumanji,Jumanji,"Adventure,Fantasy,Family",65000000.0,262797249.0,1995-12-15,104.0,6.9,2413.0,Adventure,Fantasy,Family,,,,,,,110279000.0,445861812.65
3,31357,tt0114885,Waiting to Exhale,Waiting to Exhale,"Comedy,Drama,Romance",16000000.0,81452156.0,1995-12-22,127.0,6.1,34.0,Comedy,Drama,Romance,,,,,,,27145600.0,138191727.87
5,949,tt0113277,Heat,Heat,"Action,Crime,Drama,Thriller",60000000.0,187436818.0,1995-12-15,170.0,7.7,1886.0,Action,Crime,Drama,Thriller,,,,,,101796000.0,318005305.42
8,9091,tt0114576,Sudden Death,Sudden Death,"Action,Adventure,Thriller",35000000.0,64350171.0,1995-12-22,106.0,5.5,174.0,Action,Adventure,Thriller,,,,,,,59381000.0,109176500.12
9,710,tt0113189,GoldenEye,GoldenEye,"Adventure,Action,Thriller",58000000.0,352194034.0,1995-11-16,130.0,6.6,1194.0,Adventure,Action,Thriller,,,,,,,98402800.0,597532398.08
10,9087,tt0112346,The American President,The American President,"Comedy,Drama,Romance",62000000.0,107879496.0,1995-11-17,106.0,6.5,199.0,Comedy,Drama,Romance,,,,,,,105189200.0,183028352.91
13,10858,tt0113987,Nixon,Nixon,"History,Drama",44000000.0,13681765.0,1995-12-22,192.0,7.1,72.0,History,Drama,,,,,,,,74650400.0,23212482.5
14,1408,tt0112760,Cutthroat Island,Cutthroat Island,"Action,Adventure",98000000.0,10017322.0,1995-12-22,119.0,5.7,137.0,Action,Adventure,,,,,,,,166266800.0,16995388.51
15,524,tt0112641,Casino,Casino,"Drama,Crime",52000000.0,116112375.0,1995-11-22,178.0,7.8,1343.0,Drama,Crime,,,,,,,,88223200.0,196996255.43
